UserID,Integration,Setup,Attention,Difficulty,Task,AvgRMStot,AvgRMSlh,AvgRMSrh,AvgParallelism,AvgRMStot (cm),AvgRMSlh (cm),AvgRMSrh (cm),AvgParallelism (cm),AvgRMSlh - AvgRMSrh  (cm)
5,Integrated,Leap2D,Singular,Fast,3,1.71004297,0.83276453,0.87727843,0.56527502,1.5903399583,0.7744710161,0.8158689422,0.5257057667,0.0413979262
5,Integrated,Leap2D,Divided,Fast,4,2.27302675,1.05683468,1.21619207,0.46322487,2.1139148775,0.9828562533,1.1310586242,0.4307991312,0.1482023708
5,Integrated,Leap3D,Singular,Slow,1,1.42463244,0.72735493,0.69727751,0.50270046,1.3249081704,0.6764400827,0.6484680877,0.4675114309,0.0279719949
5,Integrated,Leap3D,Divided,Slow,2,2.08095535,1.10033376,0.98062158,0.42917231,1.9352884721,1.0233103994,0.9119780727,0.399130252,0.1113323267
5,Integrated,Leap3D,Singular,Fast,3,2.45780177,1.20892573,1.24887604,0.53375815,2.2857556465,1.1243009317,1.1614547148,0.4963950838,0.0371537831
5,Integrated,Leap3D,Divided,Fast,4,2.32331475,1.12667176,1.19664299,0.53278516,2.1606827209,1.047804736,1.112877985,0.4954902012,0.065073249
5,Integrated,Touch2D,Singular,Slow,1,0.59276829,0.31766172,0.27510657,0.49638846,0.551274506,0.2954253977,0.2558491082,0.4616412712,0.0395762895
5,Integrated,Touch2D,Divided,Slow,2,0.95827494,0.5250067,0.43326824,0.4014423,0.891195694,0.4882562327,0.4029394613,0.373341338,0.0853167713
5,Integrated,Touch2D,Singular,Fast,3,1.18243302,0.60625387,0.57617915,0.5058181,1.0996627053,0.5638160998,0.5358466054,0.4704108327,0.0279694944
5,Integrated,Touch2D,Divided,Fast,4,1.81356564,0.99002514,0.82354051,0.42493006,1.6866160488,0.9207233785,0.7658926703,0.3951849571,0.1548307082
6,Integrated,Leap2D,Singular,Slow,1,0.83924594,0.44542694,0.393819,0.48047691,0.7804987236,0.4142470548,0.3662516689,0.4468435221,0.0479953859
6,Integrated,Leap2D,Divided,Slow,2,0.85802161,0.39486596,0.46315565,0.45970761,0.7979600935,0.3672253422,0.4307347512,0.4275280785,0.063509409
6,Integrated,Leap2D,Singular,Fast,3,1.58154707,0.75887155,0.82267552,0.52386992,1.470838779,0.7057505458,0.7650882332,0.4871990222,0.0593376875
6,Integrated,Leap2D,Divided,Fast,4,1.8315996,0.94953414,0.88206547,0.46022925,1.7033876291,0.8830667467,0.8203208825,0.4280131998,0.0627458642
6,Integrated,Leap3D,Singular,Slow,1,1.23297491,0.59755462,0.63542029,0.48235755,1.1466666622,0.5557257951,0.590940867,0.4485925219,0.0352150719
6,Integrated,Leap3D,Divided,Slow,2,1.28473323,0.66628869,0.61844454,0.45082228,1.1948019036,0.6196484826,0.575153421,0.4192647202,0.0444950616
6,Integrated,Leap3D,Singular,Fast,3,2.06402772,1.02439656,1.03963116,0.55938603,1.9195457791,0.9526888027,0.9668569765,0.5202290078,0.0141681738
6,Integrated,Leap3D,Divided,Fast,4,2.06728889,1.06144866,1.00584024,0.52019159,1.9225786703,0.9871472509,0.9354314194,0.4837781831,0.0517158315
6,Integrated,Touch2D,Singular,Slow,1,0.73554722,0.37517702,0.36037019,0.52348773,0.6840589123,0.3489146315,0.3351442808,0.4868435851,0.0137703507
6,Integrated,Touch2D,Divided,Slow,2,0.70957715,0.37856807,0.33100908,0.49183176,0.65990675,0.3520683021,0.3078384479,0.4574035388,0.0442298542
6,Integrated,Touch2D,Singular,Fast,3,1.27190981,0.64053949,0.63137032,0.63704204,1.1828761246,0.5957017225,0.5871744021,0.592449094,0.0085273205
6,Integrated,Touch2D,Divided,Fast,4,1.24305166,0.62273297,0.62031869,0.57789013,1.1560380454,0.5791416641,0.5768963813,0.5374378163,0.0022452828
7,Integrated,Leap2D,Singular,Slow,1,0.78967194,0.38463437,0.40503757,0.54440395,0.7343949045,0.357709963,0.3766849415,0.5062956771,0.0189749785
7,Integrated,Leap2D,Divided,Slow,2,1.09442858,0.58029376,0.51413482,0.43286504,1.0178185785,0.5396731983,0.4781453802,0.4025644884,0.0615278181
7,Integrated,Leap2D,Singular,Fast,3,1.6657732,0.80650889,0.85926431,0.55206614,1.549169076,0.7500532673,0.7991158087,0.5134215068,0.0490625413
7,Integrated,Leap2D,Divided,Fast,4,1.77661218,0.90371494,0.87289723,0.46973316,1.6522493245,0.8404548969,0.8117944275,0.4368518418,0.0286604694
7,Integrated,Leap3D,Singular,Slow,1,1.39969493,0.6761593,0.72353563,0.49438729,1.3017162829,0.6288281472,0.6728881356,0.459780183,0.0440599884
7,Integrated,Leap3D,Divided,Slow,2,1.38554626,0.7209372,0.66460906,0.4319927,1.2885580225,0.6704715945,0.618086428,0.4017532148,0.0523851665
7,Integrated,Leap3D,Singular,Fast,3,2.2318061,1.05428512,1.17752098,0.53851911,2.075579671,0.9804851622,1.0950945089,0.5008227692,0.1146093467
7,Integrated,Leap3D,Divided,Fast,4,2.398967,1.23811204,1.16085496,0.5317832,2.2310393093,1.1514442005,1.0795951087,0.4945583736,0.0718490918
7,Integrated,Touch2D,Singular,Slow,1,0.79362008,0.40861943,0.38500065,0.46738731,0.7380666713,0.3800160681,0.3580506032,0.4346702012,0.0219654649
7,Integrated,Touch2D,Divided,Slow,2,0.81162072,0.42158165,0.39003907,0.47368208,0.7548072725,0.3920709346,0.3627363379,0.4405243311,0.0293345967
7,Integrated,Touch2D,Singular,Fast,3,1.20911748,0.59957076,0.60954672,0.51747768,1.1244792597,0.5576008112,0.5668784486,0.4812542417,0.0092776374
7,Integrated,Touch2D,Divided,Fast,4,1.53365758,0.78332142,0.75033616,0.5284003,1.4263015504,0.7284889189,0.6978126316,0.49141228,0.0306762873
8,Integrated,Leap2D,Singular,Slow,1,0.88378554,0.49251633,0.3912692,0.47787085,0.8219205498,0.458040191,0.3638803588,0.444419894,0.0941598322
8,Integrated,Leap2D,Divided,Slow,2,1.78927081,0.99421134,0.79505947,0.4295513,1.6640218523,0.924616544,0.7394053084,0.3994827134,0.1852112356
8,Integrated,Leap2D,Singular,Fast,3,1.73477211,0.87956968,0.85520242,0.53811853,1.6133380589,0.8179998037,0.7953382552,0.5004502286,0.0226615485
8,Integrated,Leap2D,Divided,Fast,4,2.1387089,1.23373105,0.90497785,0.40984645,1.9889992725,1.1473698729,0.8416293997,0.3811571992,0.3057404732
8,Integrated,Leap3D,Singular,Slow,1,1.44026802,0.6443109,0.79595712,0.49163252,1.33944926,0.5992091367,0.7402401233,0.4572182394,0.1410309866
8,Integrated,Leap3D,Divided,Slow,2,2.59120909,1.762342,0.82886708,0.38139515,2.4098244506,1.638978062,0.7708463886,0.3546974932,0.8681316734
8,Integrated,Leap3D,Singular,Fast,3,2.13369626,1.02464082,1.10905544,0.48416815,1.9843375216,0.9529159615,1.03142156,0.4502763837,0.0785055986
8,Integrated,Leap3D,Divided,Fast,4,2.62558341,1.37032586,1.25525755,0.43996154,2.4417925753,1.2744030528,1.1673895225,0.409164231,0.1070135303
8,Integrated,Touch2D,Singular,Slow,1,0.73311433,0.37902551,0.35408882,0.47079757,0.6817963268,0.3524937266,0.3293026001,0.4378417366,0.0231911265
8,Integrated,Touch2D,Divided,Slow,2,1.01122535,0.54934845,0.4618769,0.44563969,0.9404395721,0.510894054,0.429545518,0.4144449109,0.081348536
8,Integrated,Touch2D,Singular,Fast,3,1.33063487,0.67518676,0.65544812,0.52695337,1.2374904314,0.6279236842,0.6095667471,0.4900666318,0.0183569371
8,Integrated,Touch2D,Divided,Fast,4,1.59674116,0.85767793,0.73906323,0.49486166,1.4849692781,0.7976404785,0.6873287996,0.4602213407,0.1103116789
9,Separated,Leap2D,Singular,Slow,1,0.96870708,0.52180607,0.44690101,0.53647471,0.9008975844,0.4852796411,0.4156179434,0.498921477,0.0696616977
9,Separated,Leap2D,Divided,Slow,2,1.15443593,0.59012166,0.56431426,0.38979037,1.0736254133,0.5488131473,0.524812266,0.3625050478,0.0240008813
9,Separated,Leap2D,Singular,Fast,3,1.78509707,0.91080437,0.8742927,0.59944204,1.6601402739,0.8470480606,0.8130922133,0.5574810948,0.0339558472
9,Separated,Leap2D,Divided,Fast,4,1.99968332,1.08523014,0.91445318,0.48384992,1.8597054914,1.0092640302,0.8504414612,0.4499804276,0.158822569
9,Separated,Leap3D,Singular,Slow,1,2.22026806,1.07379879,1.14646927,0.45277622,2.0648492965,0.9986328727,1.0662164238,0.4210818854,0.0675835511
9,Separated,Leap3D,Divided,Slow,2,2.55902802,1.46029258,1.09873544,0.33057406,2.3798960572,1.3580721023,1.0218239549,0.3074338785,0.3362481474
9,Separated,Leap3D,Singular,Fast,3,2.95600261,1.5196025,1.43640011,0.55409027,2.7490824247,1.4132303242,1.3358521005,0.5153039548,0.0773782236
9,Separated,Leap3D,Divided,Fast,4,2.82023745,1.39892864,1.42130881,0.45913829,2.6228208265,1.3010036338,1.3218171927,0.426998614,0.0208135589
9,Separated,Touch2D,Singular,Slow,1,0.71951606,0.40842301,0.31109305,0.479072,0.6691499397,0.3798334014,0.2893165383,0.4455369612,0.0905168632
9,Separated,Touch2D,Divided,Slow,2,0.7704061,0.41223403,0.35817208,0.5024493,0.7164776773,0.3833776467,0.3331000306,0.4672778466,0.0502776161
9,Separated,Touch2D,Singular,Fast,3,1.25083281,0.67590621,0.57492659,0.58808658,1.1632745105,0.6285927779,0.5346817327,0.546920517,0.0939110452
9,Separated,Touch2D,Divided,Fast,4,1.72358967,0.89494864,0.82864103,0.49587806,1.6029383938,0.8323022395,0.7706361543,0.4611665999,0.0616660852
